"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"8/7/2023 6:10:28 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,sim-spa_01
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,spa_01
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production","ChlA (depth integrated)"
"Layer 1 Surface temp","Temperature - surface"
"Layer 2 Bottom temp","Temperature - bottom"
"Layer 3 PP","ChlA (depth integrated)"
"Layer 4 Average temp","Salinity - average"
"Layer 5 Salinity","Salinity - average"
"<HEADER end/>"

Data,"Average biomass across modeled area"
"Modeled area km2",494806.705026413
"Number of cells",2245

Year,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
11,0.02482425,0.001711049,0.001583915,0.03645689,0.02772547,0.1810795,0.008441503,0.002979484,0.05173727,0.00208163,0.009337042,0.00260983,0.0008958511,0.02139316,0.004357375,0.002893225,0.0006568316,0.03997866,0.001821933,0.02861062,8.894144E-05,0.03878688,4.799388E-05,0.01242063,0.07415662,0.003587549,0.003233865,0.0001668763,0.001202871,5.983972E-05,0.001164341,0.0004001592,0.000310865,0.02901985,0.0002782928,0.001584266,0.0006576813,3.697062E-06,3.915291E-05,0.001958637,0.05042499,0.01053328,0.1030472,0.00351354,0.01647118,0.0013897,0.01188272,0.01064816,9.532752,0.0001501205,0.01717618,0.1421251,1.874464,0.1535116,0.0003355518,0.0003386704,0.01692357,0.1652472,0.3428975,0.08311699,0.03256309,0.04624226,0.0513149,0.0281415,0.0002494763,2.02448,0.008982822,0.003447461,0.03344327,0.06187405,20.6319,1.623302,5.939482,6.183823,12.09971,4.371821,9.988338,21.89498
12,0.02497303,0.001658521,0.001567678,0.03667774,0.02796757,0.1820676,0.008604445,0.003031349,0.05268866,0.00202574,0.009094027,0.002667619,0.0008692148,0.02287275,0.004401961,0.002934357,0.000662266,0.04171871,0.001895781,0.02854089,8.617461E-05,0.03842271,3.844062E-05,0.01217806,0.07449415,0.003570012,0.003274095,0.0001714119,0.00124302,6.141304E-05,0.001192213,0.0004016524,0.0003118115,0.02804854,0.0002447172,0.001592666,0.0006072721,3.556796E-06,3.926748E-05,0.001984506,0.05186483,0.009884974,0.1115439,0.003477787,0.01661235,0.001382119,0.01155146,0.01074094,9.517953,0.0001538267,0.01709502,0.1414725,1.888119,0.1523747,0.0003180538,0.0003381759,0.01683623,0.1657705,0.362142,0.08625421,0.03361272,0.046019,0.05117518,0.02914248,0.0002490083,2.017097,0.008702402,0.002823401,0.03261479,0.05934137,20.55406,1.620842,5.9375,6.182571,12.09722,4.375108,9.988378,21.89723
13,0.02510103,0.001610266,0.001553211,0.03685899,0.0281891,0.1824382,0.008746886,0.003006721,0.05326639,0.001978247,0.008569715,0.002676535,0.0007909029,0.0240481,0.004074465,0.002846792,0.0006447557,0.04206808,0.001911598,0.02748163,8.597213E-05,0.03768435,3.321095E-05,0.01154428,0.07455026,0.003400756,0.003253384,0.0001767028,0.001259083,6.286659E-05,0.001212887,0.0004007227,0.0003057378,0.02641171,0.00022938,0.001395711,0.0005931645,3.368848E-06,3.857074E-05,0.0019656,0.052888,0.009304301,0.1207886,0.003371236,0.01640153,0.00134686,0.01038198,0.01050808,9.511386,0.0001549465,0.01656866,0.1393871,1.895436,0.1513406,0.000302873,0.0003393888,0.01672603,0.1707945,0.3675929,0.09299456,0.0351393,0.04672913,0.0509845,0.02985322,0.0002483131,2.010805,0.008445743,0.002733962,0.03185136,0.05609223,20.49933,1.621934,5.911066,6.18336,12.09778,4.374306,9.993738,21.90423
14,0.02521212,0.001566007,0.001539672,0.03697609,0.02839607,0.1832298,0.008892976,0.002970531,0.05391772,0.001938863,0.008462752,0.002679243,0.0007026081,0.02513176,0.005191081,0.002707835,0.0006499218,0.04388142,0.00180603,0.02688924,7.612317E-05,0.03497578,3.239025E-05,0.01082241,0.07465909,0.003344512,0.003245945,0.0001828363,0.001291171,6.346306E-05,0.00124103,0.0004080757,0.0003014238,0.02412582,0.0001855113,0.001019852,0.0005226738,3.214869E-06,3.439817E-05,0.001909005,0.05306304,0.009716926,0.1307355,0.003260905,0.01602612,0.001282984,0.008708574,0.01019849,9.668683,0.0001571376,0.01636655,0.1389664,1.902277,0.1518644,0.0002894858,0.000343621,0.01528293,0.1771857,0.3593647,0.08976927,0.03461721,0.04356337,0.05859217,0.03150523,0.0002294016,1.985295,0.00778893,0.002693818,0.03445708,0.05411701,19.83824,1.717201,5.880917,6.08777,11.9145,4.453962,9.89314,21.75832
15,0.02527759,0.001524077,0.001526914,0.0370721,0.02860259,0.1851112,0.009028879,0.002910224,0.0545431,0.001905843,0.008948695,0.002692609,0.0005821302,0.02562219,0.005912037,0.002473239,0.0006327564,0.04301531,0.001619892,0.02675443,8.571603E-05,0.03435158,4.199036E-05,0.01005974,0.07492205,0.003267118,0.003104388,0.0001866081,0.001270931,6.186481E-05,0.001259838,0.0004018681,0.0002979725,0.02336837,0.0002094968,0.0009976557,0.0003833146,3.16347E-06,3.070165E-05,0.00186853,0.05331321,0.009604258,0.1416139,0.002996709,0.0157221,0.001215384,0.007839302,0.01017327,9.576287,0.0001575811,0.01673926,0.1399056,1.899023,0.1460937,0.0002778297,0.0003410382,0.01358739,0.1591652,0.3683766,0.08979691,0.0381069,0.04456064,0.05580639,0.03066755,0.0002072544,2.005651,0.008931655,0.003465781,0.03169309,0.05616555,19.68669,1.611355,5.900762,6.18194,12.10152,4.354732,10.06017,21.84207
16,0.02531603,0.001485297,0.001518487,0.03719538,0.02878524,0.1864164,0.009144953,0.002867969,0.05513297,0.001877296,0.00947515,0.002722124,0.0004522342,0.02532602,0.007031702,0.002191734,0.0005738538,0.04375649,0.001497466,0.02800171,8.774923E-05,0.03394144,5.19744E-05,0.01141033,0.07503455,0.003384954,0.003049121,0.0001914984,0.001314505,6.130605E-05,0.001265645,0.0004016611,0.0002944802,0.02426887,0.0002055606,0.001090609,0.0003067712,3.223753E-06,2.99822E-05,0.001877021,0.05528159,0.01050938,0.1537949,0.002787372,0.01562071,0.001184099,0.008260709,0.01038492,9.566344,0.0001579895,0.01720683,0.1401682,1.900837,0.1481049,0.0002688165,0.0003369383,0.01300069,0.1973966,0.3636314,0.09813824,0.04121403,0.05087198,0.05679175,0.03171109,0.0002042069,2.062706,0.009643811,0.003841241,0.0347362,0.06221553,19.46162,1.684158,6.096866,6.258631,12.19404,4.204627,10.00353,22.11387
17,0.02538411,0.001450074,0.001512856,0.03734792,0.0289617,0.1882229,0.00926507,0.00283516,0.05572322,0.001856696,0.009702541,0.002748601,0.0003827953,0.0247066,0.01006574,0.001974958,0.0005259161,0.04302715,0.001395211,0.02641552,7.726075E-05,0.03360603,4.782199E-05,0.01271457,0.07529808,0.003042065,0.002915309,0.0001908129,0.001265168,5.94793E-05,0.001259958,0.0003778936,0.0002927081,0.02112845,0.000177957,0.001111679,0.0002761762,3.23198E-06,2.917816E-05,0.001823873,0.05828935,0.01054492,0.1668769,0.002746035,0.01528814,0.001128311,0.007698875,0.01019704,9.499074,0.0001557655,0.01731075,0.1424407,1.893015,0.1438962,0.0002599442,0.000335464,0.01208999,0.1874887,0.3979021,0.08676618,0.03963352,0.04954761,0.04943673,0.03131199,0.000188732,1.987614,0.008183577,0.003135672,0.03107595,0.06926386,19.53,1.525777,5.475071,6.080076,11.61329,4.534733,9.818229,21.3853
18,0.02536965,0.001414247,0.001499148,0.03723153,0.029115,0.1889874,0.009351904,0.002780845,0.05600988,0.001840381,0.009202802,0.002716604,0.0003511095,0.02410846,0.01360871,0.001828044,0.0005114551,0.04550198,0.001296863,0.02683725,7.256916E-05,0.03214536,4.081028E-05,0.01287136,0.07512999,0.003335298,0.002886663,0.0001964007,0.001367618,5.561683E-05,0.001244422,0.0004000375,0.0002849848,0.0225032,0.0001674373,0.001117434,0.0003023728,3.140825E-06,2.782649E-05,0.001770851,0.05941628,0.01011404,0.1802206,0.00266876,0.01496844,0.001053821,0.006528101,0.01007163,9.592056,0.0001536265,0.01676533,0.1428286,1.870633,0.1421634,0.0002521538,0.0003289098,0.0111289,0.1929502,0.3840455,0.1000026,0.03460275,0.05024703,0.05225171,0.03329296,0.0001714277,1.944416,0.008512479,0.002841833,0.03298524,0.07421539,19.40936,1.723288,6.03707,6.168981,12.07127,4.041776,9.946237,21.86653
19,0.02534159,0.001380449,0.001491099,0.03722617,0.02927755,0.188807,0.009402239,0.002744359,0.05613459,0.001829798,0.008781153,0.002683895,0.0003359749,0.02386185,0.01642263,0.001721262,0.0005388255,0.04630763,0.001236413,0.02615816,6.991853E-05,0.02959203,3.710467E-05,0.0112111,0.07524853,0.003158474,0.002868546,0.0001896833,0.001345689,5.184434E-05,0.001236487,0.0003841009,0.0002836851,0.0211843,0.0001828862,0.0009840718,0.0003776057,3.043953E-06,2.780079E-05,0.001839834,0.0643677,0.01024063,0.1940283,0.00261079,0.01509071,0.001069827,0.006421517,0.0106466,9.709141,0.0001496532,0.01631539,0.1413395,1.846199,0.1382782,0.0002455101,0.0003198612,0.01073814,0.1852971,0.3943329,0.09414202,0.04591921,0.04575344,0.05150047,0.03377363,0.0001638437,1.983855,0.007802186,0.0025346,0.03107505,0.07608622,19.10791,1.56592,5.724503,6.100229,12.0469,4.492577,10.07516,21.7604
20,0.02530839,0.001346589,0.00148468,0.03726053,0.02942984,0.1881612,0.009438093,0.002766076,0.05631564,0.001824368,0.009145668,0.00269523,0.0003218896,0.02371802,0.01866581,0.001658969,0.0005788264,0.05120333,0.001236486,0.02901665,7.268428E-05,0.02814925,5.546512E-05,0.01319174,0.07536332,0.003770489,0.002947807,0.0002006924,0.001450045,4.82287E-05,0.00122659,0.0004028444,0.0002847892,0.02635091,0.0001971592,0.0009684633,0.0004145254,3.07789E-06,2.760435E-05,0.001880038,0.07136262,0.01054241,0.2076735,0.002640362,0.01535483,0.001143881,0.007616534,0.01127701,9.746679,0.0001487169,0.01658058,0.1403713,1.846226,0.1410138,0.0002389556,0.0003028397,0.01156932,0.2074861,0.3944356,0.09882901,0.0398696,0.05146863,0.05754923,0.03602111,0.0001764569,2.054373,0.009993042,0.003302194,0.03527929,0.07927961,19.70587,1.792109,6.43878,6.363903,12.65428,3.95685,10.22569,22.60342
21,0.02539387,0.001319666,0.001490563,0.03747248,0.02957952,0.1908049,0.0095083,0.002757369,0.05645291,0.00182612,0.00963241,0.002732904,0.0003049863,0.02351181,0.02061995,0.001574068,0.0006195804,0.05277923,0.001254293,0.02849671,6.343987E-05,0.02818453,5.021683E-05,0.01291241,0.07539451,0.003507916,0.002977158,0.0002098636,0.001449954,4.70263E-05,0.001226417,0.0004103701,0.0002820973,0.02567736,0.000151735,0.0009714141,0.0003226686,3.172337E-06,2.436804E-05,0.001752702,0.06937923,0.01010759,0.2200066,0.00259769,0.01465732,0.001016815,0.006287415,0.01002831,9.789906,0.0001463157,0.01687851,0.1420411,1.873939,0.1504973,0.0002358799,0.000296934,0.0103229,0.1926064,0.4107246,0.08540485,0.0364884,0.0459024,0.06537601,0.03710936,0.0001505226,2.077356,0.009777138,0.003264475,0.03589142,0.08056285,19.03274,1.960991,6.179485,6.239148,12.45493,4.368355,10.2144,22.52097
22,0.02551124,0.001297927,0.001495797,0.03764189,0.02971139,0.1926097,0.00955133,0.002672262,0.05616213,0.001834487,0.00939371,0.002738172,0.0003208373,0.02344155,0.01857898,0.001517122,0.0006955435,0.05108628,0.001263855,0.0265493,7.745087E-05,0.02957211,4.161273E-05,0.01200601,0.07506646,0.003127107,0.002832631,0.0002210236,0.001424131,4.623906E-05,0.001228531,0.0004028791,0.0002743668,0.02310956,0.0001644546,0.001060223,0.0003156191,3.175343E-06,2.431236E-05,0.001739417,0.06593382,0.008852504,0.2309091,0.002506686,0.0141776,0.0009642124,0.006112124,0.009271623,9.604056,0.0001407889,0.01660631,0.1407097,1.883273,0.1530721,0.0002332718,0.0002978586,0.009654396,0.1899415,0.3805304,0.09908232,0.03909695,0.04812543,0.06018528,0.03612234,0.0001522755,2.042645,0.00917126,0.002885211,0.0309221,0.07956374,19.29151,1.764688,5.860626,6.192557,12.20023,4.529638,10.12937,22.0269
23,0.02555468,0.001277742,0.001495245,0.03768099,0.02982124,0.1919556,0.009567443,0.002627781,0.05598235,0.001847921,0.008685581,0.002720107,0.0003117215,0.02315658,0.01563995,0.001452835,0.0007385185,0.05066676,0.001281487,0.02603504,8.285188E-05,0.03049643,3.713195E-05,0.01191619,0.07476947,0.003136961,0.002820464,0.0002286475,0.001489184,4.636723E-05,0.001235637,0.0004006275,0.0002667937,0.02428856,0.0002011919,0.001082786,0.0003802034,3.095262E-06,2.620341E-05,0.001883669,0.06829672,0.008797159,0.2429407,0.002557562,0.01449195,0.001023062,0.007041877,0.009663456,9.567091,0.0001395832,0.01596047,0.1375046,1.884907,0.1553275,0.0002308901,0.0002995666,0.01148459,0.2029664,0.4119642,0.1020324,0.04967029,0.05455665,0.05966491,0.03607663,0.0001853413,2.036218,0.008976077,0.002851098,0.03187267,0.07634992,19.55302,1.72435,6.100999,6.296322,12.37561,4.294755,10.10931,22.3771
